s11,s22,s12,r_calc,theta_deg,phi_deg,theta_rad,phi_rad
0.34287837,0.9290456,0.13895556,0.99999994,69.742645,82.01258,1.2172389,1.4313897
0.4144451,0.77733207,-0.47327596,1.0,61.935085,118.247154,1.0809712,2.0638022
0.15320729,0.495939,-0.8547351,1.0,72.83285,148.73047,1.271173,2.5958366
0.22522253,-0.7328218,-0.6420646,0.99999994,287.08408,129.94594,5.0105624,2.2679846
-0.5728919,-0.60297745,0.5551694,0.99999994,226.46564,56.27761,3.9525712,0.98222965
0.6338088,0.59925014,-0.48906618,1.0,43.3946,119.27922,0.7573787,2.0818152
-0.41156632,-0.498016,0.76327795,1.0,230.42926,40.245968,4.0217495,0.7024247
-0.8150526,-0.5421355,0.20439743,1.0,213.63002,78.20577,3.7285473,1.3649483
0.55903435,-0.7964522,-0.23053089,1.0,305.06522,103.32832,5.324393,1.8034196
0.98351747,0.13012224,-0.12554497,0.99999994,7.5366282,97.21223,0.13153899,1.6966735
-0.78076786,0.37403616,-0.5004983,1.0,154.4027,120.032974,2.6948354,2.0949707
0.0773215,0.045876645,-0.99595016,1.0,30.681643,174.84174,0.5354957,3.0515642
-0.9316083,0.25017986,-0.26365882,1.0,164.9681,105.28727,2.8792365,1.8376096
0.4200154,-0.5139942,-0.7479285,1.0,309.2543,138.41125,5.397506,2.4157321
0.5396243,-0.50657845,-0.67244625,1.0,316.80914,132.25615,5.529363,2.3083053
-0.11423426,0.45529327,0.8829828,1.0,104.08491,27.9957,1.8166244,0.48861718
-0.8534968,-0.4559873,-0.25222772,1.0,208.1137,104.609375,3.6322694,1.8257781
-0.50094074,0.13983801,-0.8541099,1.0,164.40288,148.66153,2.8693717,2.5946333
-0.31108838,-0.93093306,-0.19127895,0.99999994,251.522,101.02743,4.3898873,1.7632613
0.016120587,-0.44806564,-0.89385533,1.0,272.06052,153.36179,4.748352,2.6766682
0.30869973,0.091050796,-0.9467915,1.0,16.43339,161.22531,0.28681678,2.8139126
-0.8737933,-0.463802,-0.14619477,1.0,207.95898,98.40647,3.629569,1.717517
-0.0013582517,0.22601166,-0.97412366,1.0,90.34432,166.93738,1.576806,2.9136071
0.16776443,0.41505134,-0.89419657,1.0,67.99136,153.40541,1.1866732,2.6774297
-0.6332785,0.58963007,-0.501293,0.99999994,137.04414,120.08558,2.3918717,2.0958889
0.6344591,0.56075025,-0.531997,1.0,41.47102,122.14048,0.7238059,2.1317537
-0.4721667,0.87854874,-0.072185576,1.0,118.25532,94.13953,2.0639448,1.6430448
0.57586646,0.17316957,0.7989932,0.99999994,16.736628,36.965927,0.29210928,0.6451772
-0.2263342,0.9688165,-0.10083333,0.99999994,103.14955,95.787155,1.8002994,1.6718013
0.83944935,-0.2399185,-0.48761043,1.0,344.0498,119.18364,6.004802,2.080147
0.3466202,-0.9349328,0.07586188,0.99999994,290.34192,85.64925,5.067423,1.4948615
-0.8023019,0.13728237,-0.58091754,1.0,170.29012,125.5151,2.9721234,2.190652
0.55275047,-0.14927848,0.8198676,1.0,344.88693,34.928455,6.019413,0.6096166
-0.15530819,-0.11409093,0.98125565,1.0,216.30138,11.11101,3.7751713,0.19392371
0.9532092,-0.3019905,0.013927281,1.0,342.42102,89.201996,5.9763746,1.5568687
0.67502296,0.1318069,0.72592765,1.0,11.048716,43.453922,0.19283648,0.7584141
0.91553605,0.16313559,0.367669,0.99999994,10.103261,68.42807,0.17633519,1.1942952
0.53381634,0.3563621,0.76684165,1.0,33.726055,39.928883,0.58863074,0.69689053
-0.16777922,0.4391001,0.88263315,1.0,110.91175,28.038351,1.9357753,0.48936155
-0.63162553,-0.06443534,-0.7725913,1.0,185.82487,140.58716,3.243256,2.453709
-0.47516915,0.3721103,0.7973382,1.0,141.93509,37.123333,2.4772348,0.6479244
-0.9733144,0.22361651,-0.051523883,1.0,167.06097,92.95341,2.9157643,1.6223431
-0.5429413,0.5710896,0.6156877,1.0,133.55261,51.998093,2.3309329,0.907538
0.7605511,-0.6411583,-0.10236238,1.0,319.8685,95.87522,5.582759,1.6733384
0.6136946,-0.27911377,-0.7385624,1.0,335.54352,137.6091,5.8563395,2.401732
0.41457853,-0.8126888,0.40946496,1.0,297.0276,65.82877,5.1841097,1.1489289
0.13181569,0.83046407,-0.5412523,1.0,80.98094,122.76893,1.4133842,2.1427221
0.2966802,-0.19273293,-0.9353261,1.0,326.99094,159.28088,5.707069,2.7799761
0.76346606,-0.5344304,-0.3626345,1.0,325.00775,111.26208,5.672456,1.9418896
-0.99679554,0.07551989,0.026369676,0.99999994,175.66739,88.488945,3.0659745,1.5444236
-0.566732,0.19909951,0.7994837,1.0,160.64304,36.919167,2.80375,0.6443611
0.21219827,0.5644681,0.79771405,1.0,69.39745,37.087635,1.2112141,0.6473014
0.27950382,-0.9295829,-0.24031916,1.0,286.7348,103.90537,5.0044665,1.813491
-0.23772198,0.95778483,0.16166772,1.0,103.939125,80.69629,1.81408,1.408416
0.32708943,-0.9443714,-0.03428107,1.0,289.10385,91.96455,5.0458145,1.6050842
-0.484383,0.11398866,0.86739826,1.0,166.75766,29.842304,2.9104705,0.5208465
0.08891058,0.77774715,-0.6222574,1.0,83.47836,128.48117,1.4569724,2.2424195
-0.65682846,0.4323821,-0.61775565,1.0,146.64359,128.15244,2.5594134,2.236682
-0.085269496,-0.661581,-0.7450099,1.0,262.6558,138.15994,4.5842085,2.411346
-0.7434301,-0.058009636,-0.66629314,0.99999994,184.46173,131.7816,3.2194648,2.300023
-0.15779647,0.022137972,0.98722345,0.99999994,172.01384,9.168683,3.002208,0.16002372
-0.4468946,0.35894716,0.81941575,1.0,141.22845,34.973648,2.4649017,0.6104053
-0.68214256,-0.51604676,0.51805145,1.0,217.1078,58.798363,3.7892463,1.0262251
-0.17240366,0.15759479,-0.97233784,1.0,137.56946,166.49213,2.40104,2.9058359
-0.86692023,-0.30692232,-0.39274415,1.0,199.49586,113.12536,3.48186,1.97441
0.56667536,0.100383334,-0.81780326,1.0,10.045412,144.8655,0.17532553,2.52838
-0.038528185,-0.2289362,-0.97267866,0.99999994,260.44705,166.576,4.545659,2.9072998
0.8425611,0.48765758,-0.22865008,1.0,30.0614,103.217606,0.5246704,1.8014872
-0.43779594,0.88225526,0.17309073,1.0,116.39169,80.03243,2.0314183,1.3968295
-0.74988467,-0.03007713,0.6608845,1.0,182.29684,48.632633,3.1816802,0.84879965
-0.03471789,-0.26404563,0.9638851,0.99999994,262.50946,15.445291,4.5816545,0.2695712
0.89359695,-0.20798257,-0.39777845,0.99999994,346.8978,113.43937,6.054509,1.9798906
-0.09994813,0.98271865,0.15580258,1.0,95.807335,81.03665,1.6721536,1.4143565
0.34623632,0.8922476,0.28985268,1.0,68.791275,73.150856,1.2006344,1.2767234
0.23353036,-0.17242585,0.95693934,1.0,323.5599,16.875195,5.647186,0.29452774
-0.55740917,0.6337696,0.5363126,1.0,131.33208,57.56703,2.2921772,1.0047343
0.42623055,-0.8578237,-0.28716892,1.0,296.4216,106.68853,5.173533,1.8620663
-0.40804645,-0.90389526,0.1283412,0.99999994,245.7041,82.62625,4.288346,1.4421002
0.7921296,0.4474155,0.41515064,0.99999994,29.458895,65.4712,0.51415473,1.142688
-0.9260551,-0.3434473,-0.15641603,1.0,200.34837,98.99893,3.496739,1.7278574
-0.7046125,-0.4505208,-0.5482264,0.99999994,212.59436,123.24543,3.7104716,2.1510386
0.72057766,-0.36318105,0.59064996,1.0,333.25125,53.796852,5.816332,0.93893224
-0.10263341,-0.3644476,-0.9255508,1.0,254.27205,157.75156,4.437885,2.7532842
-0.7962668,0.22614004,0.5610881,1.0,164.14543,55.86892,2.8648784,0.97509664
0.20668493,0.96243227,-0.17608374,1.0,77.87966,100.14173,1.3592566,1.747803
0.614901,0.2504449,0.7477794,1.0,22.160723,41.60161,0.3867776,0.72608507
-0.7424619,0.22607331,-0.63058794,1.0,163.06496,129.0935,2.8460205,2.2531068
-0.4863439,-0.83940876,-0.24261601,0.99999994,239.91249,104.040985,4.187263,1.8158579
-0.5986764,-0.76795626,0.22766155,0.99999994,232.06105,76.84056,4.0502295,1.3411208
-0.96205604,0.25264314,-0.10305146,0.99999994,165.28592,95.91492,2.8847837,1.6740311
0.9246824,0.31789178,-0.20954064,1.0,18.97219,102.09543,0.33112723,1.7819015
-0.9641031,-0.22885388,0.13465166,1.0,193.35342,82.26152,3.374654,1.4357345
-0.34871954,0.91947085,0.18157102,1.0,110.76979,79.53872,1.9332976,1.3882126
0.2712458,0.862472,-0.42727947,1.0,72.54173,115.29504,1.2660922,2.012278
0.32540295,-0.8390719,-0.43597156,1.0,291.19693,115.84713,5.0823455,2.021914
0.21199997,0.8909413,0.40159628,1.0,76.61535,66.32199,1.3371902,1.1575372
0.31505874,-0.46713388,-0.82615006,1.0,303.9977,145.70526,5.3057613,2.5430367
-0.63498175,0.05658594,-0.77045196,1.0,174.90758,140.39449,3.0527132,2.4503462
0.5546082,0.81537175,-0.16606814,1.0,55.77683,99.55929,0.97348934,1.7376375
0.7236078,0.6897544,0.025111243,0.99999994,43.62789,88.56107,0.7614504,1.5456824
0.87410116,0.46732408,0.13249671,1.0,28.130466,82.38611,0.4909693,1.4379089
0.9396965,-0.25076517,0.23256683,1.0,345.05835,76.55176,6.0224047,1.3360803
0.2276845,-0.89213717,0.3901936,1.0,284.31696,67.033455,4.9622674,1.1699545
-0.4354313,-0.86905456,-0.23482701,0.99999994,243.38727,103.58143,4.2479095,1.807837
-0.13209322,-0.065342814,0.98908126,1.0,206.32031,8.47461,3.6009688,0.14790986
0.3612996,-0.8157698,0.4516439,1.0,293.88828,63.15079,5.129318,1.1021893
0.72002673,0.38601485,-0.576675,1.0,28.196285,125.21702,0.49211803,2.1854494
0.51433134,-0.63796294,0.57312,1.0,308.87607,55.031918,5.3909044,0.9604882
0.6021383,0.22030364,-0.76739544,0.99999994,20.095997,140.12057,0.35074133,2.4455655
-0.92902267,-0.2880679,0.23223649,1.0,197.22742,76.57122,3.442268,1.3364199
0.12900968,0.96578646,-0.22497334,1.0,82.39147,103.00131,1.4380026,1.7977121
0.34606707,-0.41111174,0.8433414,1.0,310.09012,32.505333,5.4120936,0.5673251
0.42664945,-0.8368791,0.34293392,1.0,297.01294,69.944275,5.183854,1.220758
0.93114686,-0.36444718,-0.011993184,1.0,338.62482,90.68718,5.910118,1.5827899
0.2499734,-0.77026284,0.5866928,1.0,287.9798,54.07733,5.026196,0.9438275
0.20160022,0.9601263,0.19368757,0.99999994,78.14172,78.83193,1.3638304,1.3758769
0.61844563,-0.71873075,-0.31772807,1.0,310.71097,108.52558,5.42293,1.8941288
0.8075053,0.55804396,-0.19110756,0.99999994,34.647247,101.017426,0.60470855,1.7630868
-0.37101033,0.9204544,-0.1229435,1.0,111.95303,97.06201,1.9539491,1.6940517
-0.182202,0.3897673,0.9027092,1.0,115.05437,25.483505,2.0080776,0.44477108
-0.6815854,-0.7190406,-0.13572754,0.99999994,226.53181,97.80069,3.9537263,1.7069441
-0.88032097,0.3974335,-0.25900117,1.0,155.70251,105.010796,2.7175217,1.8327843
0.41747868,0.679664,-0.6031321,1.0,58.439976,127.09454,1.01997,2.2182183
-0.41485178,0.73730034,0.53318495,0.99999994,119.364845,57.779095,2.0833097,1.0084355
-0.78549767,-0.39778146,-0.4740921,1.0,206.85797,118.30025,3.6103528,2.064729
0.6619433,-0.6415102,-0.38767987,0.99999994,315.8981,112.81021,5.513462,1.9689097
0.4943762,-0.8665242,-0.06875999,1.0,299.70596,93.942764,5.230856,1.6396106
0.36786905,-0.92862904,0.048171062,1.0,291.6106,87.23893,5.0895653,1.5226066
0.8297352,0.47780144,-0.28852245,0.99999994,29.935406,106.769516,0.5224714,1.8634797
0.27921438,0.90944356,0.30814248,1.0,72.93263,72.05267,1.2729146,1.2575564
0.35972074,-0.29906228,0.8838341,1.0,320.26074,27.891611,5.589605,0.48680046
0.50298786,0.12642288,0.85499734,1.0,14.1086855,31.240559,0.24624303,0.54525065
-0.7446432,0.23329328,0.6253645,1.0,162.60446,51.291058,2.8379834,0.89519787
-0.41241896,0.85034597,0.32683685,0.99999994,115.87344,70.923096,2.0223732,1.2378416
0.20695359,0.51667506,0.830793,0.99999994,68.171486,33.819702,1.189817,0.5902652
-0.5433019,-0.037191596,0.83871317,0.99999994,183.91606,32.99551,3.209941,0.5758803
0.8085461,-0.0018058062,0.58843005,1.0,359.872,53.954323,6.280952,0.9416806
0.22797224,0.9736038,-0.011152373,1.0,76.82145,90.63899,1.3407873,1.581949
0.43748808,0.5864435,-0.68168044,1.0,53.27698,132.97508,0.9298588,2.3208532
0.9146719,-0.060758363,0.39960444,0.99999994,356.19962,66.44654,6.2168565,1.159711
0.096473396,0.8322076,0.54600674,1.0,83.38752,56.906513,1.4553869,0.9932061
0.44959834,-0.7292121,0.51585954,1.0,301.65607,58.945076,5.2648916,1.0287857
-0.92689353,0.31161952,0.2091929,1.0,161.41747,77.92494,2.8172665,1.3600469
-0.9433191,0.30943522,-0.11999566,1.0,161.83905,96.891846,2.8246245,1.6910819
-0.6187898,0.19139557,-0.7618838,1.0,162.81284,139.63055,2.8416202,2.437013
-0.16929743,-0.6468069,-0.74362576,1.0,255.33224,138.0412,4.4563885,2.4092736
-0.959272,0.23108758,-0.16246744,1.0,166.45558,99.350136,2.905198,1.7339871
-0.74634266,-0.6648552,0.0306631,1.0,221.69519,88.24286,3.8693113,1.5401285
-0.7626119,-0.47008866,-0.4443419,1.0,211.65048,116.38124,3.6939979,2.031236
-0.21078515,-0.58148646,0.7857755,1.0,250.07474,38.20754,4.364628,0.6668474
0.43834653,0.8665944,0.23846696,0.99999994,63.168495,76.20392,1.1024983,1.3300093
-0.14230609,-0.62575066,0.76693225,1.0,257.1879,39.920795,4.4887757,0.6967493
-0.43899095,0.84986573,0.29157358,1.0,117.31823,73.04781,2.0475895,1.2749249
0.5783393,-0.32512352,0.74821013,1.0,330.6567,41.564423,5.7710485,0.7254361
0.421996,-0.8307783,-0.36294183,1.0,296.9284,111.280975,5.182379,1.9422195
-0.6035957,0.6431049,-0.47126245,1.0,133.18484,118.11627,2.3245142,2.061518
0.8101925,0.097173095,-0.5780532,1.0,6.839287,125.31372,0.11936808,2.1871371
-0.7414447,0.6488832,-0.1709103,1.0,138.80887,99.84075,2.4226718,1.7425499
-0.4974615,-0.609396,-0.6173885,0.99999994,230.7746,128.12569,4.0277767,2.236215
-0.9782326,0.066424444,0.1965929,1.0,176.11543,78.66221,3.0737944,1.3729146
0.2560829,-0.6862067,0.6808391,1.0,290.46487,47.090748,5.0695686,0.8218886
0.60922194,-0.6144838,0.5012567,0.99999994,314.75363,59.91682,5.4934874,1.0457458
0.9029784,-0.1962234,-0.3822648,1.0,347.73984,112.47404,6.0692053,1.9630424
-0.50784683,-0.86123866,0.01896038,0.99999994,239.47342,88.91358,4.1796,1.5518348
-0.867262,-0.17681783,-0.46539453,1.0,191.52354,117.73576,3.3427167,2.0548768
-0.4792745,0.1359448,0.86707264,1.0,164.16415,29.879774,2.8652053,0.52150047
-0.41096652,-0.3296527,-0.8499621,1.0,218.73448,148.20755,3.8176372,2.5867097
-0.7504039,-0.066854775,-0.6575899,1.0,185.09114,131.11632,3.23045,2.2884116
0.70822126,-0.34168065,0.6178001,1.0,334.24506,51.844334,5.833677,0.90485436
0.17254418,-0.27643812,0.9454155,1.0,301.97113,19.01813,5.2703905,0.331929
-0.26119408,-0.95164675,-0.16169766,1.0,254.65222,99.30545,4.44452,1.7332071
-0.6117963,-0.5831827,0.5344186,1.0,223.62831,57.695507,3.9030507,1.0069766
-0.8962487,0.27043018,-0.35157624,1.0,163.20956,110.58375,2.8485444,1.9300506
0.07452676,0.14642797,-0.98640996,1.0,63.025486,170.54327,1.1000023,2.9765418
-0.32412305,0.86931366,-0.37314606,1.0,110.44794,111.909775,1.9276803,1.9531941
-0.856212,-0.51592493,-0.026879169,1.0,211.07176,91.540245,3.6838975,1.5976788
-0.8457744,0.4006127,-0.35238484,1.0,154.65477,110.63325,2.6992352,1.9309145
-0.83253735,-0.5538929,-0.009174853,1.0,213.6361,90.52568,3.7286534,1.5799713
0.2346779,0.8487656,-0.4738388,1.0,74.54424,118.28376,1.3010426,2.0644412
0.8350079,0.54253185,-0.09176604,1.0,33.013092,95.26521,0.5761872,1.6626917
0.36408195,-0.92724425,-0.08753564,1.0,291.43744,95.02184,5.086543,1.6584442
-0.4440128,-0.36755958,0.8171613,1.0,219.6184,35.198364,3.8330643,0.6143274
0.094111755,0.22260033,-0.97035664,0.99999994,67.08215,166.01445,1.1708045,2.8974988
0.619075,0.6554983,-0.4325137,1.0,46.636887,115.62719,0.8139673,2.0180752
0.22156689,-0.49946976,-0.837519,1.0,293.92227,146.87906,5.1299114,2.5635233
0.5470076,-0.83097005,0.10134826,1.0,303.35596,84.18318,5.2945604,1.4692738
0.9428435,0.07082691,-0.32562193,0.99999994,4.2960205,109.00326,0.07497971,1.9024658
-0.47687036,0.86963904,0.12775977,0.99999994,118.73835,82.659836,2.0723753,1.4426864
-0.48221475,0.3160747,0.81704694,1.0,146.75658,35.209732,2.5613856,0.6145258
-0.76422334,0.31805062,-0.56107616,0.99999994,157.40413,124.13026,2.7472205,2.1664817
0.37105668,0.64157367,-0.6713421,1.0,59.956886,132.17073,1.0464451,2.3068144
0.033742882,-0.015587998,0.999309,1.0,335.20477,2.130103,5.850427,0.037177313
-0.290276,-0.13373475,0.947552,1.0,204.73627,18.63883,3.573322,0.32530898
0.9345632,0.06438757,-0.3499227,1.0,3.9412158,110.48258,0.068787195,1.9282849
0.2996784,-0.09501621,-0.949297,1.0,342.4082,161.67656,5.976151,2.8217885
-0.01933574,0.78564876,0.6183706,1.0,91.40983,51.802753,1.5954026,0.9041287
-0.82851255,-0.4400344,0.34631872,0.99999994,207.97337,69.737686,3.6298203,1.2171522
0.20167892,0.053481344,-0.97799045,0.99999994,14.851897,167.95679,0.25921452,2.931399
-0.7121124,-0.61735684,-0.33431494,1.0,220.92323,109.53088,3.855838,1.9116746
-0.17600784,0.037432976,-0.9836768,1.0,167.99335,169.63347,2.932037,2.9606628
-0.8448441,0.50402796,0.17942764,1.0,149.18,79.663574,2.6036823,1.3903917
0.05734238,0.7151082,-0.69665784,1.0,85.41543,134.15947,1.4907806,2.3415246
-0.08500382,-0.23361126,0.9686073,1.0,250.00513,14.394435,4.363413,0.2512303
-0.57766396,0.23848431,-0.78065974,1.0,157.56708,141.32101,2.7500644,2.4665172
0.19612005,-0.6252785,0.75535667,0.99999994,287.41415,40.943447,5.0163236,0.714598
-0.22964846,-0.27662405,0.9331349,1.0,230.30113,21.071112,4.019513,0.3677603
0.24966985,0.54528064,0.80020875,1.0,65.398186,36.849957,1.1414137,0.64315313
